index	is_pain	pain_type
88	else	None
89	pain_point	cost of services
90	else	None
91	pain_point	transaction delays
92	else	None
93	pain_point	limited functionality
94	pain_point	limited functionality
95	pain_point	transaction delays
96	pain_point	cashback problems
97	pain_point	technical glitches
98	pain_point	transaction delays
99	pain_point	user experience issues
0	pain_point	transaction delays
1	pain_point	cashback problems
2	pain_point	cost of services
3	pain_point	cashback problems
4	pain_point	cashback problems
5	pain_point	user experience issues
6	else	None
7	else	None
8	pain_point	user experience issues
9	pain_point	limited functionality
10	pain_point	cashback problems
11	pain_point	cashback problems
12	else	None
13	pain_point	technical glitches
14	pain_point	transaction delays
15	pain_point	cost of services
16	pain_point	user experience issues
17	pain_point	user experience issues
18	pain_point	user experience issues
19	pain_point	cost of services
20	pain_point	technical glitches
21	pain_point	user experience issues
22	pain_point	limited functionality
23	else	None
24	pain_point	cost of services
25	else	None
26	pain_point	limited functionality
27	pain_point	transaction delays
28	pain_point	cost of services
29	pain_point	security concerns
30	pain_point	technical glitches
31	pain_point	technical glitches
32	pain_point	transaction delays
33	pain_point	user experience issues
34	pain_point	technical glitches
35	pain_point	user experience issues
36	pain_point	transaction delays
37	pain_point	user experience issues
38	pain_point	user experience issues
39	pain_point	technical glitches
40	pain_point	transaction delays
41	pain_point	technical glitches
42	pain_point	transaction delays
43	pain_point	technical glitches, cashback problems, user experience issues
44	pain_point	cost of services
45	else	None
46	pain_point	customer support issues
47	pain_point	user experience issues
48	pain_point	transaction delays
49	pain_point	user experience issues
50	pain_point	cost of services
51	pain_point	customer support issues
52	else	None
53	pain_point	suspicion of pyramid scheme
54	pain_point	transaction delays and limited functionality
55	else	None
56	else	None
57	pain_point	transaction delays
58	pain_point	cashback problems
59	else	None
60	pain_point	user experience issues
61	pain_point	customer support issues, transaction delays, regulatory compliance
62	pain_point	transaction delays
63	pain_point	regulatory compliance
64	else	None
65	pain_point	technical glitches
66	pain_point	transaction delays, customer support issues
67	pain_point	transaction delays
68	pain_point	transaction delays, cost of services
69	pain_point	transaction delays
70	pain_point	user experience issues
71	else	None
72	else	None
73	pain_point	technical glitches
74	else	None
75	pain_point	cashback problems
76	pain_point	technical glitches
77	else	None
78	else	None
79	pain_point	user experience issues
80	pain_point	cashback problems
81	else	None
82	pain_point	user experience issues
83	pain_point	user experience issues
84	pain_point	cost of services
85	pain_point	user experience issues
86	pain_point	transaction delays
87	pain_point	customer support issues
88	else	None
89	else	None
90	else	None
91	pain_point	transaction delays
92	pain_point	cost of services
93	pain_point	transaction delays
94	pain_point	cost of services
95	pain_point	user experience issues
96	pain_point	transaction delays
97	pain_point	user experience issues
98	pain_point	customer support issues
99	pain_point	user experience issues
